why_peer_learning,count
Didn't need to; felt comfortable with reviewing the lecture materials and practice problems on my own.,1
I did not feel the need to attend peer learning. The lecture and the discussion were sufficient for building understanding for me.,1
I did not know of this event.,1
I didn't know that existed.,1
"I attend office hours and tutoring, but not the chemistry peer learning. I have never heard of that.",1
I did not attend the chemistry peer learning because I already felt confident in the course material.,1
I dont find it an effective use of my time. I think work better alone/doing problems myself.,1
I was not aware of this peer learning room.,1
did not know there was a peer learning.,1
I didn't know that there was a chemistry peer learning room.,1
"I am taking 20 units + work 20-30 hours a week, I generally don't have much time for peer learning/non-mandatory class sessions.",1
Didn't know about it and didn't think it would be very helpful.,1
"I did not feel I needed the extra review, I think I did better studying on my own.",1
"I felt the need to seek out extra resources outside of class lecture, discussion, and office hours.",1
I do not know what that is :(,1
I didn't have time to attend,1
I did not know it even existed,1
I went to TA office hours and found them sufficiently helpful,1
I did not feel like I needed it for this class,1
I was not aware of this.,1
I never bothered to look out for any such program.,1
I did because I was struggling with concepts and I also wanted to double check my work at times.,1
Hi,1
I didn’t even know that was a thing,1
I didn't feel the need,1
I was not aware of the peer learning sessions.,1
Peer learning sessions often conflict with my schedule + I usually am more efficient when studying on my own.,1
"I wasn't aware of peer learning, but I have been going to the Organic Chemistry Tutoring club",1
I did not feel it was necessary,1
"I did not know that that was a thing. However, even with that knowledge, I don't think I would have attended because I feel fairly confident in the course material.",1
The peer learning sessions were not held at times that were convenient for me,1
Was not aware of this service,1
I did not know it was available,1
Was not aware of this resource,1
I did not attend.,1
I didnt have time in my schedule.,1
I was not aware of a Chemistry peer learning/did not have the time,1
I did not have enough time,1
I work as a tutor there,1
Did not have time.,1
I did not know there was a Chemistry peer learning.,1
i prefer to use office hours with TA's,1
I did not attend because I did not have time,1
I didn’t have time.,1
"I attended TA office hours and directed my questions during those sessions. Additionally, I prefer to study alone rather than with a large group since I tend to get distracted during group study sessions.",1
I already had a study group I like to study with,1
Never knew this existed,1
I didn't even know there was a peer learning for this class.,1
The times conflicted with my other activities/classes,1
I didn't know of it,1
"Did not need, just worked with friends and such",1
I was not familiar with it.,1
didn't go,1
My schedule was too busy this quarter and I chose TA OH instead,1
"I have not been informed, or have not been informed enough about the peer learning sessions!",1
I did not know there was peer learning for this course.,1
"I was not aware of this resource, but also I did not need too much additional help with this course.",1
I was not aware of its existence.,1
I didn't know it existed!,1
Wasn't sure how to get there,1
I didn't know it existed.,1
I was not informed enough about the above opportunity.,1
I was not aware of the peer learning.,1
I did not know about the peer learning room.,1
I did not even know it was happening.,1
Never had the time,1
I was unaware that this peer learning meeting was being offered,1
My schedule did not allow me to come.,1
My schedule did now allow me to participate.,1
I had reached out at the beginning of the quarter to ask how to access the peer learning but received no response.,1
I thought that it was only for people in the PEERS program.,1
I attended Office hours instead,1
No; I didn't know it existed.,1
I don't know what that is and have never heard of it before,1
I dont think I heard about this workshop.,1
It did not fit in my schedule,1
The professor never mentioned it in class,1
did not know about that,1
"I didn't feel like I needed it. I studied a lot through the textbook and practice questions, so I felt I was adequately prepared already.",1
Unhelpful,1
I didn't have enough time with my schedule.,1
I didn't know there was Chemistry peer learning,1
Don't feel like I need it,1
The times have conflicted with other academic commitments.,1
Prior conflicting academic committments.,1
"I had a time conflict with another commitment, so I could not attend this time around.",1
"I didn't know it existed, and I wouldn't have had the time to go that far anyway.",1
Did not know it was hosted.,1
didn't know and didn't need help,1
Had enough resources without it.,1
Dont know the times,1
I did not know that was a thing!,1
I thought the tutoring would be helpful for the exams.,1
I was having other issues that prevented my attendance.,1
I didn't feel the need and I didn't have the time.,1
