why_peer_learning,count
I did not feel the need to go to the peer learning room.,1
I went to UA sessions in young hall.,1
too far from dorms,1
I do not know much about it honestly.,1
Did not know it existed,1
I was unaware of its timings and locations in order to attend. I may have missed the information if it was presented somewhere.,1
I did not know of its timings or location to be able to participate. I may have missed this information if it was provided in class or on the BruinLearn course website.,1
"I did not have the time to attend the learning sessions in person, only zoom.",1
I did not know that was there.,1
I did not know about this resource or I would have : ),1
I am unfamiliar with the peer learning sessions.,1
I was sick,1
I often did not find the time to attend these.,1
I wasn't aware of this peer learning.,1
I didn't know that there was such a thing.,1
I attended other study sessions instead.,1
Did not have time due to schedule conflicts,1
"Entered the room and left promptly; unsure how it was meant to work, and couldn’t tell who was “hosting” the event to ask (arrived late)",1
"I don't know what that is, but I attended step up sessions instead",1
Never had time,1
I did not have the time.,1
"Wasn't really necessary for me, I was doing well in the course.",1
I was not aware that Chemistry peer learning existed.,1
I was not aware of the peer learning,1
"I did not know that there was a peer learning session in MS3974, but I have gone to many UA sessions for my CHEM 14A class beforehand.",1
"I did not know there was a Chemistry peer learning in room MS3974, however I have gone to multiple UA sessions for my chemistry class.",1
"When I felt I needed a peer to work with, I asked friends in my class to help me rather than attending a scheduled session as it was simply more convenient.",1
I didn't know there was a peer learning session,1
didnt know it was a thing,1
I did not attend that but I did attend the UA sessions in the YH building that was offered to students in the CHEM 14A class.,1
Conflicted with a midterm.,1
Did not desire to do so,1
I did all the review worksheets instead and went to office hours.,1
I didn't have time and I was scared to go alone,1
No b/c i didnt know about it,1
I didn't really have time and forgot about it,1
I don't know about it,1
I didn't know too much about it,1
I had a schedule conflict and was busy,1
I do not remember hearing about this.,1
"It was something that I wasn't too aware of throughout the quarter. Besides, I never knew the best way to ensure that I understood the concepts well enough to excel on exams.",1
I didnt see the need for it yet.,1
"I did not need the support for the course, but I greatly appreciate it nonetheless.",1
I wasn't aware of this material.,1
I wasn't aware of peer learning for chem 14d,1
I wasn't able to sign up and also work didn't permit me to attend.,1
I prefer studying on my own.,1
I attended these chemistry learning sessions to further my understanding.,1
It furthered my understanding of the concepts we learned in Chemistry 14A.,1
I didn't know that it was being held.,1
"I did attend the UA and step up sessions organized by Dr. Lavelle, but I did not know there was a specific peer learning room.",1
commuter student so didnt match my plan,1
"I did not know it was also for a lab class, and I did not know what to ask, since the practice worksheets were odd.",1
I didn't need to go/didn't have time.,1
"I did not have the time, nor did I know about it until later in the quarter.",1
Not enough time,1
i didnt have time,1
I didn’t want to,1
I didn't know these existed.,1
Did not know this existed,1
I commute and work so my schdeule didn’t align,1
"Did not know about, also time wise probably could not have been able to.",1
I utilized Office hours instead.,1
I didn't even know it was a thing,1
I had other peer learning sessions and never got around to it for 14Bl,1
I have not hear of peer learning before for chemistry,1
I was busy.,1
I didn't know about it and I felt like I could study on my own.,1
Due to schedule conflict,1
I have not heard of it,1
I did but not in the MS building,1
"N/A, wasnt sure",1
I couldn't make those times.,1
I do not know what this is.,1
Was not aware of them,1
I don’t know what it is,1
I did not know there was any for this course,1
I didn't find it necessary.,1
anxiety,1
I did not know when it was,1
I didn't feel any need to.,1
I did not know about peer learning.,1
I did not attend the chemistry peer learning because I did not know that existed.,1
"I heard about this Chemistry peer learning and saw the schedule for it on google sheets, but I never knew the location/feel like it wasn’t indicated somewhere.",1
I did not know there was peer learning in that room,1
I did not know what it was or where it was offered.,1
Did not see much need.,1
"Never remembered, too hard to find hours",1
Didn’t know it was available thought it was only for aap,1
Not sure where this is or what this is,1
I did not have any time to,1
i was not aware of them.,1
work,1
I wasn’t aware of it,1
I dont knwo what that is,1
"I am very busy, I work two jobs on top of school and I also lead several clubs",1
I did not sign up for it as it did not fit into my schedule.,1
I typically study/learn better on my own.,1
I did not know this was available,1
I didn't know it was a resource I could use,1
time,1
It helped me a lot to understand the concepts better.,1
I wasn’t assigned to attend,1
N/a,1
Wanted to but didn’t fit my schedule!,1
"Schedules did not work out, and I was able to get help from TAs and my friends",1
I feel like the content wasn’t that hard.,1
I was unable to make time for it because of my class schedule. Also if it is mentioned in emails it should be moved higher up so it is the first thing I see when opening them.,1
Didn't feel the need to ask for extra help.,1
I did not attend because I did not feel the need to as I felt comfortable enough with the content of the course.,1
I did not know about the peer learning.,1
Did not necessarily feel the need to.,1
I love it there,1
I didn't feel like I needed to,1
I didn't know about the peer learning,1
I wasn't aware of the peer learning.,1
I didn’t know it exisited,1
No need to attend,1
I was studying for another class.,1
I don't even know what that is,1
I didn't attend the peer learning because of the schedule comflict,1
waste of time,1
I wasn’t aware this was a resource.,1
I didn't know it was an option,1
I did not know when/where it was.,1
was unaware it was happening,1
I never knew about it.,1
-,1
I feel like I didn't need the peer learning because I want to give more time so I could study more by myself.,1
I feel pretty good about my chemistry ability,1
DId not hear about it,1
I felt I understood the material well enough already.,1
I do not know what peer learning is.,1
I do not know what this is in reference to.,1
"I did once as I had a content question, but they hadn’t taken the course I was in before so it wasn’t the most helpful.",1
I was pretty busy this quarter,1
I went for a content question but the tutor hadn't taken the course so it wasn’t the most helpful.,1
Wasn't aware of it,1
I didn’t know what that was,1
Did not hear about it,1
I didn’t think i needed it.,1
"I was not aware of it. However, even if I was I probably wouldn't have attended because I felt very comfortable with the material.",1
I didn’t attend the chemistry peer learning room in MS3974 because I didn’t know about it and I believe i know these materials quite well without needing to reach out for extra help.,1
I didn’t know about this.,1
didn't hear about the peer learning,1
"I have not heard of that, I was able to get all my questions answered during lecture, office hours, or e-mail",1
I am doing good without any external help,1
I had other options,1
I didn't know of it and don't really have time in my schedule,1
I didn't know about when the Chemistry peer learning program is and I felt office hours might be more effective as getting my questions answered.,1
I did not feel the need to attend.,1
Dont have time,1
Not sure,1
don't need it,1
I didn't know that was a resource available to me.,1
Wasn't aware of this opportunity.,1
didn't know it happened,1
I just haven't had the time to go.,1
I didn't know that was thing.,1
"Never heard of it, also don't feel that I would need it.",1
I didn't feel the need to. I tend to study better and learn beter when I am able explain the quesitons myself,1
I didn't have time to go,1
I did not know there was a peer learning room.,1
The professors office hours are very helpful as he takes the time to further explain difficult concepts and helps naviagte a handful of challenging problems from the homework,1
I receive peer learning through athletics,1
I was tired after classes and just wanted to go back to the dorms,1
I couldn't fit it in my schedule,1
I was unaware of the tutoring offered.,1
I study better alone usually,1
I do not remember hearing about the peer learning event.,1
I was not aware that chemistry peer learning was available,1
I didn't want to,1
I did not feel I needed this,1
I did not feel the need to as I felt I had a good understanding of concepts while doing my assignments and studying,1
I did not really now about it,1
Have to review other courses.,1
Didn’t know it existed,1
too lazy,1
"I was not aware it was offered. I did however attend multiple TA office hours, professor office hours, and multiple on campus chemistry tutoring sessions.",1
I was unaware of Chemistry peer learning.,1
I didn't know it was a thing.,1
"It was convenient since most of my classes were close to MS3974, and I also liked to go there for Math help as well",1
Wasn’t aware of it,1
I didn’t need it because I felt I understood everything.,1
I don't feel the need to,1
I didn't know about it!,1
Was not able to attend because I had class.,1
Did not feel the need to attend peer learning,1
Unable,1
Didn't think I needed it,1
Didn't need it,1
I did not know about it as well as I should have,1
My schedule was too busy and I did not have time for it due to work,1
I did not have time due to work,1
I never ended up going to the peer learning room,1
I study better alone,1
I wasn’t aware of it.,1
Did not see a need for it as I understood all the material,1
"I took AP Chemistry in high school and didn't realize I could skip the class with the credit, so I knew most of the material already and didn't need the peer learning.",1
I didnt know about it.,1
I did not know it was an option available to me.,1
Didn't really know,1
I did not know this was happening.,1
i did not know of its existence,1
Did not know of it,1
Was not aware of this resource.,1
Wasn't aware,1
N,1
i didn't know there was a room,1
I didn't know it was there,1
"I had a conflict with something else going on in my personal life, hence the reason I could not attend. My apologies.",1
Don’t know about it,1
I didn't think it was necessary to help me understand the content.,1
I have a lot of friends who are also taking this class and so we studied separately together.,1
Was not aware of it but also would not have needed it,1
I wasn’t informed of this peer learning.,1
I never felt like I needed the extra help,1
I do not know what that is,1
"I didn't know about it (or don't remember being told), or if I just forgot about it (it may have been announced and I just don't remember) that would be because I looked at what time it was and was busy.",1
I did not know about them,1
"I never felt the need to attend and felt I would be better off studying on my own. Nothing against the peer learning sessions, just felt I learn better on my own.",1
I did not know that was available.,1
I did not attend the Chemistry peer learning in room MS3974 because I preferred to review on my own.,1
"Unfortunately, I have other commitments that occupy my schedule.",1
I was comfortable with the course material,1
I don’t have a need to attend the peer learning sessions and have sufficient resources,1
I wasn't aware there was Chemistry peer learning. I would have definitely attended had I known.,1
"I commute, so it's hard for me to get out at 4-5pm",1
Felt like I didn't need it. I was successful in my own studies/methods already.,1
I never felt like I needed to and I was not aware of it.,1
I didn't know it was there or didn't do the research to know it was there.,1
I don't feel like I need it right now.,1
"I wasn't aware of this, but it is alright because I didn't need much help this quarter for chem 20A!",1
I didn't hear about it.,1
I didn't have time and generally felt like I benefited more from studying alone.,1
I didn’t  know it existed.,1
I was unaware of this.,1
Busy schedule so I utilized other resources,1
I did not hear about it,1
I’ve never heard of it,1
Didn’t hear about it,1
"no, i did not have enough time",1
I felt that this would help me better understand concepts,1
They would overlap with my schedule.,1
It was full when I tried enrolling,1
Because I didn't have that much time to go there,1
I attended office hours for help instead.,1
"I didn’t know about it, or, if it was not required, I immediately forgot about it, not expecting to need to attend",1
I did not know of it.,1
i didnt know about it.,1
What the...what is this?,1
I didn't even know that was something we offered.,1
I didn’t really know it existed until now,1
"I was very busy, and I did not have the time to attend Chemistry peer learning.",1
I wasn't aware there was chemistry peer learning.,1
I did not find the time to attend.,1
Two reasons. I didn't know it was a thing also I'm not having a hard time in this class so I wouldn't feel the need to.,1
I did not feel I needed it to succeed.,1
Not sure what it is,1
I didnt even know about that,1
I was unaware of the chemistry peer learning.,1
I did not want to go to the peer learning because of time interferences.,1
"I was honestly very lazy and felt like I was already doing decently in the class, but reflecting back, I probably should have attended the Chemistry peer learning.",1
I prefer other activities,1
I was not aware of peer learning.,1
I was not aware of peer learning,1
I did not know that there was a peer learning room,1
I didn't know that this was available.,1
no need,1
I found Chemistry this quarter manageable so I instead went to office hours if I did need help.,1
I didn’t know they had that,1
"I study most efficiently by myself, but I bring questions to class or office hours when needed.",1
I didn't know this peer learning existed.,1
"I wasn’t aware of it. I had other resources, including Dr. DeWeese’s office hours and assigned collaborators discussion section.",1
I didnt know this was a thing.,1
I did not know it was a thing.,1
"When studying, I find myself getting more stressed when there’s other people around me compared to me figuring out my weak spots and taking the time to study from that.",1
Did not know it was happening.,1
idk,1
I was not aware that there is a Chemistry peer learning session but have been able to get the assistance I need from my professor in office hours.,1
"I attended all of the office hours for this class especially toward the end, so I felt that was sufficient. Also I could not figure out if I was eligible for the peer learning when I tried to sign up.",1
